num,mstget,mstput,msttotal
3498,0.0570,0.2011,0.6956
5498,0.0587,0.2264,0.8281
7498,0.0640,0.2548,0.9945
9498,0.0631,0.2585,1.2547
11498,0.0590,0.2587,1.4272
13498,0.0618,0.2803,1.7965
23498,0.0645,0.3560,4.0031
43498,0.0789,0.4947,12.3691
53498,0.0781,0.5849,18.3683
