num,mstget,mstput,msttotal
100,0.0559,0.2126,0.6861
150,0.0574,0.2590,0.7515
200,0.0572,0.3115,0.8873
300,0.0584,0.4048,1.2600
400,0.0588,0.5303,1.7301
500,0.0577,0.6379,2.3757
600,0.0608,0.7656,3.1971
700,0.0662,0.8921,4.1876
800,0.0631,1.0431,5.3540
900,0.0674,1.1445,6.5814
1000,0.0656,1.2884,7.934
1100,0.0739,1.4620,9.7513
1600,0.0712,2.3585,19.6854
2100,0.0689,3.5152,34.5087
